state,canonical_school,canonical_key,alias_variants,n_alias_variants,dat_tf_men_team_ids,dat_tf_women_team_ids,dat_xc_men_team_ids,dat_xc_women_team_ids,n_dat_team_records,all_dat_team_ids,duplicate_team_records,sports_present,dat_leagues,source_league_urls,athletic_net_team_id,athletic_net_team_id_source,source,observed_on,verification
OH,Massillon Perry,massillon perry,Massillon Perry (x4),1,11994,20274,25896,25897,4,track:men:11994;track:women:20274;xc:men:25896;xc:women:25897,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Massillon Tuslaw,massillon tuslaw,Massillon Tuslaw (x4),1,42493,42494,25898,25899,4,track:men:42493;track:women:42494;xc:men:25898;xc:women:25899,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Massillon Washington,massillon washington,Massillon Washington (x4),1,20286,20287,25900,25901,4,track:men:20286;track:women:20287;xc:men:25900;xc:women:25901,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Maumee,maumee,Maumee (x4),1,42495,42496,25902,25903,4,track:men:42495;track:women:42496;xc:men:25902;xc:women:25903,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Mayfield,mayfield,Mayfield (x4),1,10312,10313,25904,25905,4,track:men:10312;track:women:10313;xc:men:25904;xc:women:25905,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,McArthur Vinton County,mcarthur vinton county,McArthur Vinton County (x4),1,28783,28785,25906,25907,4,track:men:28783;track:women:28785;xc:men:25906;xc:women:25907,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,McComb,mccomb,McComb (x4),1,42497,42498,25908,25909,4,track:men:42497;track:women:42498;xc:men:25908;xc:women:25909,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,McConnelsville Morgan,mcconnelsville morgan,McConnelsville Morgan (x4),1,20369,33866,25910,25911,4,track:men:20369;track:women:33866;xc:men:25910;xc:women:25911,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,McDermott Northwest,mcdermott northwest,McDermott Northwest (x4),1,42499,42500,25912,25913,4,track:men:42499;track:women:42500;xc:men:25912;xc:women:25913,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,McDonald,mcdonald,McDonald (x4),1,42501,42502,25914,25915,4,track:men:42501;track:women:42502;xc:men:25914;xc:women:25915,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,McGuffey Upper Scioto Va.,mcguffey upper scioto va,McGuffey Upper Scioto Va. (x4),1,13712,13713,25916,25917,4,track:men:13712;track:women:13713;xc:men:25916;xc:women:25917,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Mechanicsburg,mechanicsburg,Mechanicsburg (x4),1,42503,42504,25918,25919,4,track:men:42503;track:women:42504;xc:men:25918;xc:women:25919,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Medina,medina,Medina (x4),1,42505,42506,25920,25921,4,track:men:42505;track:women:42506;xc:men:25920;xc:women:25921,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Medina Buckeye,medina buckeye,Medina Buckeye (x4),1,12136,12137,25922,25923,4,track:men:12136;track:women:12137;xc:men:25922;xc:women:25923,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Mentor,mentor,Mentor (x4),1,20535,20536,25926,25927,4,track:men:20535;track:women:20536;xc:men:25926;xc:women:25927,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Metamora Evergreen,metamora evergreen,Metamora Evergreen (x4),1,42509,42510,25930,25931,4,track:men:42509;track:women:42510;xc:men:25930;xc:women:25931,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Miami East,miami east,Miami East (x4),1,13705,13706,25269,25270,4,track:men:13705;track:women:13706;xc:men:25269;xc:women:25270,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Miami Valley Christian,miami valley christian,Miami Valley Christian (x2),1,104142,104143,,,2,track:men:104142;track:women:104143,no,track,Ohio,https://www.directathletics.com/leagues/track/43.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Miamisburg,miamisburg,Miamisburg (x4),1,42511,42512,25932,25933,4,track:men:42511;track:women:42512;xc:men:25932;xc:women:25933,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Middlefield Cardinal,middlefield cardinal,Middlefield Cardinal (x4),1,42513,42514,25935,25936,4,track:men:42513;track:women:42514;xc:men:25935;xc:women:25936,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Middletown,middletown,Middletown (x4),1,33626,33627,4963,4964,4,track:men:33626;track:women:33627;xc:men:4963;xc:women:4964,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Middletown Bish. Fenwick,middletown bish fenwick,Middletown Bish. Fenwick (x4),1,42515,42516,12999,13000,4,track:men:42515;track:women:42516;xc:men:12999;xc:women:13000,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Middletown Christian,middletown christian,Middletown Christian (x4),1,25030,25031,25937,25938,4,track:men:25030;track:women:25031;xc:men:25937;xc:women:25938,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
