state,dat_league_name,dat_league_sport,dat_league_id,dat_team_id,dat_team_sport,team_gender,dat_team_name_raw,level_guess,dat_league_url,source,observed_on,verification
WI,Wisconsin,track,115,24432,track,women,Ashland,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24242,track,men,Ashwaubenon,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24243,track,women,Ashwaubenon,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24747,track,men,Assumption,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24748,track,women,Assumption,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,10534,track,men,Athens,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,10535,track,women,Athens,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,10582,track,men,Auburndale,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,10583,track,women,Auburndale,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24670,track,men,Augusta,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24671,track,women,Augusta,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24308,track,men,Badger,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24309,track,women,Badger,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,10455,track,men,Baldwin-Woodville,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,10456,track,women,Baldwin-Woodville,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24799,track,men,Bangor,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24800,track,women,Bangor,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,16784,track,men,Baraboo,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,16785,track,women,Baraboo,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,10469,track,men,Barron,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,10470,track,women,Barron,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24244,track,men,Bay Port,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24245,track,women,Bay Port,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24268,track,men,Beaver Dam,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24269,track,women,Beaver Dam,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24521,track,men,Belleville,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24522,track,women,Belleville,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24817,track,men,Belmont,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24818,track,women,Belmont,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,79330,track,men,Belmont JV,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,79331,track,women,Belmont JV,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,16844,track,men,Beloit Memorial,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,16845,track,women,Beloit Memorial,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,58500,track,men,Benton-Scales Mound-Shullsburg,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,58501,track,women,Benton-Scales Mound-Shullsburg,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24485,track,men,Berlin,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24486,track,women,Berlin,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24607,track,men,Big Foot,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24608,track,women,Big Foot,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,102977,track,men,Birchwood,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,102978,track,women,Birchwood,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24819,track,men,Black Hawk,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24820,track,women,Black Hawk,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24541,track,men,Black River Falls,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24542,track,women,Black River Falls,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
