fragment,state,sport,role,school,coach_name,ad_name,source_url,verify
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Cross Country,Varsity Head Coach - Girls Cross Country,adm,Steve Brown,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Cross Country,Varsity Assistant Coach - Girls Cross Country,adm,Sara Schwertfeger,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Track & Field,Varsity Head Coach - Girls Track & Field,adm,Sara Schwertfeger,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Track & Field,Varsity Assistant Coach - Girls Track & Field,adm,Angie Gilliland,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Track & Field,Varsity Assistant Coach - Girls Track & Field,adm,Steve Brown,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Track & Field,Varsity Assistant Coach - Girls Track & Field,adm,Scott Crannell,,https://www.gobound.com/ia/schools/adm/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,,Activities Director,agwsr,,Dave Showalter,https://www.gobound.com/ia/schools/agwsr/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,,Asst Athletic Director,agwsr,,Scott Williams,https://www.gobound.com/ia/schools/agwsr/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Head Coach - Boys Track & Field,agwsr,Vacant Vacant,,https://www.gobound.com/ia/schools/agwsr/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Head Coach - Boys Track & Field,agwsr,Vacant Vacant,,https://www.gobound.com/ia/schools/agwsr/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Assistant Coach - Boys Track & Field,agwsr,Vacant Vacant,,https://www.gobound.com/ia/schools/agwsr/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Assistant Coach - Boys Track & Field,agwsr,Vacant Vacant,,https://www.gobound.com/ia/schools/agwsr/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Boys Track & Field,Varsity Assistant Coach - Boys Track & Field,agwsr,Vacant Vacant,,https://www.gobound.com/ia/schools/agwsr/directory/new,robots_blocked
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments-ad/IA.csv,IA,Girls Track & Field,Varsity Head Coach - Girls Track & Field,agwsr,Eric Olson,,https://www.gobound.com/ia/schools/agwsr/directory/new,robots_blocked
